JobTitle__lightlycleaned,RoleMultichoice_composite,TimeWorked,TimeDataPrep,TimeDataAnalysis,TimeIdeating,TimeProducingViz,TimeOtherVizTasks,OtherVizTasks__,altID
Epidemiologist,Student,30–39 hours,6–10 hours,6–10 hours,,5 hours or less,,,1826
PhD Student,Academic/Teacher,30–39 hours,None,None,11–20 hours,,,,1827
Student,Student,30–39 hours,11–20 hours,11–20 hours,5 hours or less,5 hours or less,None,,1828
Network Administrator,Student,30–39 hours,5 hours or less,5 hours or less,None,None,None,,1829
Research Scholar,Student,30–39 hours,21–30 hours,11–20 hours,None,5 hours or less,None,,1830
Research Professor,Academic/Teacher,30–39 hours,None,None,None,None,None,,1831
Professor,Academic/Teacher,30–39 hours,5 hours or less,6–10 hours,11–20 hours,6–10 hours,5 hours or less,,1832
Research Associate,Academic/Teacher,30–39 hours,None,None,5 hours or less,None,,,1833
Professor,Academic/Teacher,30–39 hours,5 hours or less,11–20 hours,5 hours or less,11–20 hours,None,,1834
Data Analyst Expertise in Visualization,Student,30–39 hours,More than 30 hours,6–10 hours,6–10 hours,6–10 hours,5 hours or less,,1835
Professor,Academic/Teacher,30–39 hours,11–20 hours,5 hours or less,5 hours or less,6–10 hours,None,,1836
Data scientist,Academic/Teacher,30–39 hours,11–20 hours,11–20 hours,,5 hours or less,,,1837
Postdoctoral Fellow,Academic/Teacher,30–39 hours,5 hours or less,6–10 hours,None,5 hours or less,None,,1838
Senior lecturer,Academic/Teacher,30–39 hours,None,None,5 hours or less,5 hours or less,None,,1839
Spatial Ecological Modeller,Academic/Teacher,30–39 hours,6–10 hours,21–30 hours,None,5 hours or less,None,,1840
Computational Social Scientist,Student,30–39 hours,None,None,None,None,None,,1841
Working Student,Student,30–39 hours,None,5 hours or less,21–30 hours,None,None,,1842
Administrator,,30–39 hours,None,6–10 hours,None,None,None,,1843
Data scientist,Academic/Teacher,30–39 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,None,,1844
Political Science,Student,30–39 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,None,,1845
Software engineer,,30–39 hours,None,None,None,None,None,,1846
Doctoral Researcher (Neuroscience),Academic/Teacher,30–39 hours,5 hours or less,5 hours or less,None,5 hours or less,None,,1847
PhD student,Academic/Teacher,30–39 hours,21–30 hours,6–10 hours,,6–10 hours,None,,1848
Assistant Professor,Academic/Teacher,30–39 hours,6–10 hours,5 hours or less,None,5 hours or less,None,,1849
Researcher,Academic/Teacher,30–39 hours,6–10 hours,6–10 hours,6–10 hours,6–10 hours,5 hours or less,,1850
Research assistant,Academic/Teacher,30–39 hours,5 hours or less,None,None,5 hours or less,None,,1851
Engineer,,30–39 hours,5 hours or less,5 hours or less,None,5 hours or less,None,,1852
Dual Student Business Informatics,Student,30–39 hours,None,5 hours or less,5 hours or less,5 hours or less,None,,1853
Student,Student,30–39 hours,5 hours or less,11–20 hours,5 hours or less,5 hours or less,None,,1854
owner & principal consultant,"Leadership (Manager, Director, VP, etc.)",20–29 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,None,,1855
Consultant,Analyst,20–29 hours,None,None,5 hours or less,None,None,,1856
Business Intelligence Analyst,Analyst,20–29 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,None,,1857
Research Associate,Scientist,20–29 hours,6–10 hours,5 hours or less,,11–20 hours,None,,1858
Data Visualization Specialist,Designer,20–29 hours,None,None,None,5 hours or less,11–20 hours,,1859
Senior visualization architect,Scientist,20–29 hours,,5 hours or less,,,21–30 hours,,1860
software developer,Developer,20–29 hours,5 hours or less,5 hours or less,5 hours or less,11–20 hours,None,,1861
Consultant,Analyst,20–29 hours,6–10 hours,6–10 hours,None,6–10 hours,None,,1862
Evaluation Consultant,None of these describes my role,20–29 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,None,,1863
Ceo,Analyst,20–29 hours,None,5 hours or less,5 hours or less,None,None,,1864
Digital Consultant,Developer,20–29 hours,5 hours or less,6–10 hours,None,5 hours or less,None,,1865
Managing Consultant,Analyst,20–29 hours,6–10 hours,6–10 hours,5 hours or less,None,,,1866
Senior Evaluator,"Leadership (Manager, Director, VP, etc.)",20–29 hours,None,None,11–20 hours,5 hours or less,None,,1867
Consultant,Analyst,20–29 hours,5 hours or less,6–10 hours,None,5 hours or less,,,1868
Owner & Technical Lead,Scientist,20–29 hours,6–10 hours,5 hours or less,5 hours or less,6–10 hours,,,1869
data visualization designer,Designer,20–29 hours,6–10 hours,5 hours or less,5 hours or less,11–20 hours,,,1870
Individual entrepreneur,Designer,20–29 hours,None,5 hours or less,None,11–20 hours,None,,1871
Managing director,Developer,20–29 hours,5 hours or less,6–10 hours,11–20 hours,6–10 hours,None,,1872
freelancer,Developer,20–29 hours,11–20 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,,1873
Chief Data Interpreter (CDI/CEO),,20–29 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,None,,1874
Consultant,Scientist,20–29 hours,5 hours or less,6–10 hours,None,5 hours or less,None,,1875
"Data visualization designer, Data scientist",Developer,20–29 hours,5 hours or less,5 hours or less,,11–20 hours,5 hours or less,,1876
data visualization designer,Designer,20–29 hours,6–10 hours,5 hours or less,11–20 hours,11–20 hours,None,,1877
Appsheet specialist,Developer,20–29 hours,6–10 hours,5 hours or less,None,5 hours or less,6–10 hours,,1878
Tableau Report Developer,Developer,20–29 hours,6–10 hours,,,5 hours or less,6–10 hours,,1879
Information Designer,Designer,20–29 hours,None,5 hours or less,6–10 hours,11–20 hours,,,1880
Lecturer,Developer,20–29 hours,5 hours or less,6–10 hours,11–20 hours,11–20 hours,None,,1881
founder/ ceo,Designer,20–29 hours,5 hours or less,5 hours or less,6–10 hours,6–10 hours,None,,1882
graphic designer,Designer,20–29 hours,None,5 hours or less,5 hours or less,5 hours or less,None,,1883
director,Developer,20–29 hours,5 hours or less,6–10 hours,None,5 hours or less,None,,1884
Web Analyst,Analyst,20–29 hours,None,5 hours or less,None,None,None,,1885
Data manager,Analyst,20–29 hours,6–10 hours,11–20 hours,5 hours or less,6–10 hours,None,,1886
Research analyst,Analyst,20–29 hours,6–10 hours,5 hours or less,5 hours or less,6–10 hours,None,,1887
Data Analyst,Analyst,20–29 hours,11–20 hours,6–10 hours,5 hours or less,11–20 hours,None,,1888
Founder,,20–29 hours,5 hours or less,6–10 hours,6–10 hours,None,5 hours or less,,1889
Senior Newsroom Developer,Engineer,20–29 hours,None,None,5 hours or less,5 hours or less,,,1890
epidemiologist,Scientist,20–29 hours,5 hours or less,5 hours or less,None,5 hours or less,None,,1891
Analyst,Analyst,20–29 hours,None,6–10 hours,None,None,None,,1892
Data Analyst,Analyst,20–29 hours,11–20 hours,11–20 hours,5 hours or less,6–10 hours,6–10 hours,,1893
Data Translator,"Leadership (Manager, Director, VP, etc.)",20–29 hours,5 hours or less,5 hours or less,11–20 hours,6–10 hours,None,,1894
Senior data analyst,Analyst,20–29 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,,,1895
Research and Project Manager,Designer,20–29 hours,5 hours or less,5 hours or less,5 hours or less,None,None,,1896
Data scientist,Scientist,20–29 hours,More than 30 hours,More than 30 hours,More than 30 hours,More than 30 hours,More than 30 hours,,1897
Market Intelligence Manager,Journalist,20–29 hours,5 hours or less,5 hours or less,None,5 hours or less,None,,1898
Evaluation Associate,Analyst,20–29 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,,,1899
Business Intelligence Specialist,Engineer,20–29 hours,5 hours or less,21–30 hours,11–20 hours,6–10 hours,5 hours or less,,1900
Analytics transformation project lead,"Leadership (Manager, Director, VP, etc.)",20–29 hours,None,None,5 hours or less,5 hours or less,None,,1901
Computational Social Scientist,Designer,20–29 hours,5 hours or less,5 hours or less,None,None,None,,1902
Bioinformatician,Scientist,20–29 hours,5 hours or less,6–10 hours,6–10 hours,5 hours or less,None,,1903
frontend developer,Engineer,20–29 hours,None,5 hours or less,5 hours or less,5 hours or less,None,,1904
Senior Consultant-Strategy & Analytics,Analyst,20–29 hours,5 hours or less,5 hours or less,None,11–20 hours,None,,1905
Data Visualization Specialist,None of these describes my role,20–29 hours,6–10 hours,5 hours or less,None,6–10 hours,,,1906
Evaluation Specialist,Analyst,20–29 hours,6–10 hours,5 hours or less,None,6–10 hours,,,1907
Frontend Developer,Developer,20–29 hours,None,None,5 hours or less,5 hours or less,None,,1908
Evaluation Specialist,Analyst,20–29 hours,None,5 hours or less,None,5 hours or less,None,,1909
BI specialist,Analyst,20–29 hours,6–10 hours,6–10 hours,5 hours or less,6–10 hours,5 hours or less,,1910
Front End Developer,,20–29 hours,6–10 hours,None,None,None,5 hours or less,,1911
Student,Student,20–29 hours,11–20 hours,6–10 hours,6–10 hours,6–10 hours,None,,1912
Senior Consultant,,20–29 hours,6–10 hours,5 hours or less,None,None,None,,1913
Scientific employee,Student,20–29 hours,None,5 hours or less,None,None,None,,1914
Student,Student,20–29 hours,21–30 hours,6–10 hours,11–20 hours,11–20 hours,,,1915
User Experience Designer,,20–29 hours,None,None,5 hours or less,5 hours or less,,,1916
Managing Partner,,20–29 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,,,1917
Alliance & Growth,Academic/Teacher,20–29 hours,6–10 hours,6–10 hours,5 hours or less,6–10 hours,None,,1918
Teaching Assistant,,20–29 hours,6–10 hours,None,None,6–10 hours,None,,1919
React GUI Developer,Student,20–29 hours,None,None,6–10 hours,6–10 hours,11–20 hours,,1920
Graduate Student,Student,20–29 hours,None,5 hours or less,None,None,None,,1921
Student,Student,20–29 hours,5 hours or less,5 hours or less,6–10 hours,6–10 hours,None,,1922
Accessibility Software Developer,Student,20–29 hours,6–10 hours,6–10 hours,5 hours or less,6–10 hours,5 hours or less,,1923
Grad Student,Student,20–29 hours,5 hours or less,5 hours or less,None,5 hours or less,None,,1924
Graduate Student,Student,20–29 hours,None,6–10 hours,5 hours or less,6–10 hours,None,,1925
Wen Communication,,20–29 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,None,,1926
Data analysis,Student,Fewer than 20 hours,5 hours or less,5 hours or less,6–10 hours,5 hours or less,5 hours or less,,1927
Associate Editor,Journalist,Fewer than 20 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,,1928
Graphic Designer,,Fewer than 20 hours,None,None,None,None,None,,1929
University adjunct lecturer,Designer,Fewer than 20 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,None,,1930
Scientific visual communicator,,Fewer than 20 hours,5 hours or less,5 hours or less,6–10 hours,6–10 hours,,,1931
Data Analyst and Tableau Developer,,Fewer than 20 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,,1932
Data Scientist,,Fewer than 20 hours,5 hours or less,6–10 hours,None,5 hours or less,None,,1933
PhD student,Scientist,Fewer than 20 hours,None,None,,None,,,1934
Academic coordinator,Analyst,Fewer than 20 hours,5 hours or less,5 hours or less,None,5 hours or less,None,,1935
Data Journalist,Journalist,Fewer than 20 hours,5 hours or less,6–10 hours,5 hours or less,None,None,,1936
Data scientist,Scientist,Fewer than 20 hours,6–10 hours,5 hours or less,6–10 hours,5 hours or less,5 hours or less,,1937
Trainer / Support Specialist,Designer,Fewer than 20 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,None,,1938
Data Visualization Developer,Developer,Fewer than 20 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,,,1939
Data Analyst,Analyst,Fewer than 20 hours,None,5 hours or less,5 hours or less,5 hours or less,None,,1940
Service Designer,Designer,Fewer than 20 hours,None,5 hours or less,5 hours or less,5 hours or less,None,,1941
Scientific graphic designer,Designer,Fewer than 20 hours,5 hours or less,5 hours or less,None,5 hours or less,5 hours or less,,1942
Data Visualization Designer,Designer,Fewer than 20 hours,None,None,None,6–10 hours,None,,1943
Interaction Designer,Designer,Fewer than 20 hours,None,None,None,None,None,,1944
PhD student,Designer,Fewer than 20 hours,None,5 hours or less,5 hours or less,5 hours or less,None,,1945
Soccer referee,,Fewer than 20 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,None,,1946
freelance,Analyst,Fewer than 20 hours,None,None,None,None,None,,1947
Freelance Journalist,None of these describes my role,Fewer than 20 hours,None,None,None,None,None,,1948
ALM Data Analyst,,Fewer than 20 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,,1949
business analyst,Analyst,Fewer than 20 hours,5 hours or less,6–10 hours,None,None,None,,1950
SEO Manager,"Leadership (Manager, Director, VP, etc.)",Fewer than 20 hours,None,5 hours or less,None,5 hours or less,5 hours or less,,1951
Business Intelligence Manager,"Leadership (Manager, Director, VP, etc.)",Fewer than 20 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,None,,1952
Fraud prevention supervisor,Analyst,Fewer than 20 hours,6–10 hours,5 hours or less,5 hours or less,6–10 hours,None,,1953
Data Analyst,Analyst,Fewer than 20 hours,5 hours or less,11–20 hours,6–10 hours,5 hours or less,None,,1954
Web Developer,Developer,Fewer than 20 hours,None,None,None,None,None,,1955
Research Officer,Cartographer,Fewer than 20 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,None,,1956
depty manager,Engineer,Fewer than 20 hours,6–10 hours,11–20 hours,5 hours or less,6–10 hours,None,,1957
Designer,Scientist,Fewer than 20 hours,5 hours or less,11–20 hours,11–20 hours,None,21–30 hours,,1958
Data visualization developer,Developer,Fewer than 20 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,None,,1959
Data Processing Manager,Designer,Fewer than 20 hours,5 hours or less,5 hours or less,None,5 hours or less,None,,1960
Business Intelligence Officer,Analyst,Fewer than 20 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,None,,1961
Teacher,,Fewer than 20 hours,6–10 hours,5 hours or less,5 hours or less,6–10 hours,None,,1962
Engineer Trainee,,Fewer than 20 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,None,,1963
Research Assistant,,Fewer than 20 hours,5 hours or less,None,5 hours or less,None,None,,1964
designer,,Fewer than 20 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,None,,1965
Frontend Developer,,Fewer than 20 hours,5 hours or less,5 hours or less,None,None,5 hours or less,,1966
CEO,,Fewer than 20 hours,None,5 hours or less,5 hours or less,5 hours or less,5 hours or less,,1967
Unemployed/Job Seeker,,Fewer than 20 hours,6–10 hours,5 hours or less,,5 hours or less,,,1968
